facility_id,County,Licensed_Capacity,Medicaid_Contract_Flag,Specialty,Contract,n_inspections,n_investigations,n_enforcement,n_civil_fines,n_stop_placement,n_conditions,phone_shared_count,RF03_multi_home_operator,RF08_network_cluster,high_complaint_load,has_enforcement,has_stop_placement,has_condition,RF06_exclusion_match,latest_enforcement_year
F00930,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00931,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00932,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00933,King,8,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",0,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00934,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, Expanded Community Services",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00935,Spokane,5,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00936,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00937,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, WCF AFH SOW",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00938,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2,1,1,1,0,0,1,False,False,False,True,False,False,False,2025
F00939,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00940,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00941,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00942,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00943,King,8,No/Unknown,"Mental Health, Dementia",,1,0,2,2,0,0,1,False,False,False,True,False,False,False,2025
F00944,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00945,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, Expanded Community Services, Specialized Behavior Support",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
