facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
F01612,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2026,,1,1,
F01613,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01614,OP,King,6,"Mental Health, Dementia",,2I,,2026-06-26,No/Unknown,1,0,0,0,0,0,0,1,2025,,1,1,
F01615,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F01616,OP,Pierce,5,"Mental Health, Dementia, Developmental Disabilities","AFH Respite, Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",3F,,2026-06-26,Yes (has DSHS contract),0,1,0,0,0,0,0,1,2024,,1,1,
F01617,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",3F,,2026-06-26,Yes (has DSHS contract),2,0,1,0,1,0,0,3,2026,2026,1,3,OP048
F01618,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3F,,2026-06-26,Yes (has DSHS contract),1,3,1,0,1,0,0,5,2025,2025,1,1,
F01619,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01620,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2G,,2026-06-26,Yes (has DSHS contract),0,1,0,2,0,0,0,3,2024,,1,1,
F01621,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),2,0,0,0,0,0,0,2,2026,,1,1,
F01622,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2026,,1,1,
F01623,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2024,,1,1,
F01624,OP,Pierce,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",3F,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2025,,1,1,
F01625,OP,Pierce,5,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2023,,1,1,
F01626,OP,Pierce,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3F,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01627,OP,King,8,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2026,,1,1,
F01628,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,2,0,0,0,0,0,3,2026,,1,1,
F01629,OP,King,6,"Mental Health, Dementia",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01630,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,3,0,0,0,0,0,4,2025,,1,1,
F01631,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),0,2,0,0,0,0,0,2,2025,,1,1,
F01632,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01633,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01634,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2023,,1,1,
